index	title	freq	cl_agl-20	cl_agl-50	cn_agl-20	cn_agl-50
548	appropriate. p	162	7	15	dev | g&d | g/d [68,560]	aga. p | comfort self. afsf. aga. p | development [6,315]
549	prematurity p	161	2	20	#9 o | #9 | 9. o [108,709]	#9 o | #9 | 9. o [75,943]
550	shift thus far. a	161	0	22	a/b's | npn addendum | caffeine. a [28,763]	caffeine. a | stable in ra. p | caffeine. p [4,423]
551	addendum to above note	161	8	6	o | events | d [133,786]	o | events | d [123,792]
552	id/skin	161	3	35	social | skin | s [230,049]	skin | integ | derm [87,809]
553	skin/id	160	3	35	social | skin | s [230,049]	skin | integ | derm [87,809]
554	extremities	159	4	37	wt | hc | birth wt [30,514]	env't | extrem | dvlp [3,837]
555	#9 soc	159	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
556	g.i	158	5	34	gi | gu | endo [383,721]	gi | gi/gu | gu/gi [173,259]
557	feeds well. p	158	17	0	feeds. p | tolerating feeds. p | stable. p [16,349]	feeds. p | tolerating feeds. p | stable. p [13,513]
558	cares. p	158	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
559	well. a	158	17	0	feeds. p | tolerating feeds. p | stable. p [16,349]	feeds. p | tolerating feeds. p | stable. p [13,513]
560	note	157	4	24	wt | hc | birth wt [30,514]	npn (noc) | correction | 9 day average intake [8,184]
561	#9 g+d o	157	7	17	dev | g&d | g/d [68,560]	dev | g&d | g/d [62,245]
562	ivf	157	4	24	wt | hc | birth wt [30,514]	npn (noc) | correction | 9 day average intake [8,184]
563	addendum to npn	157	8	6	o | events | d [133,786]	o | events | d [123,792]
564	c	155	15	32	cv | id | cardiac [283,370]	cv | cardiac | cvs [184,497]
565	negative. a	154	17	0	feeds. p | tolerating feeds. p | stable. p [16,349]	feeds. p | tolerating feeds. p | stable. p [13,513]
566	stable. a	154	17	0	feeds. p | tolerating feeds. p | stable. p [16,349]	feeds. p | tolerating feeds. p | stable. p [13,513]
567	[** 9999**]	154	4	24	wt | hc | birth wt [30,514]	npn (noc) | correction | 9 day average intake [8,184]
568	clinical nutrition	154	4	4	wt | hc | birth wt [30,514]	hc | ob | pedi [10,504]
569	fen/endo	153	5	34	gi | gu | endo [383,721]	gi | gi/gu | gu/gi [173,259]
570	bili o	153	10	38	bili | #9 bili | 9. bili [13,490]	bili | #9 bili | 9. bili [11,235]
571	#9 - cv	152	2	45	#9 o | #9 | 9. o [108,709]	9. cv | #9 cv | cv o/a [3,971]
572	m-s	151	3	2	social | skin | s [230,049]	s | pain | activity [40,406]
573	#9 [** **] o	151	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
574	sepsis. p	151	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
575	proph	150	3	2	social | skin | s [230,049]	s | pain | activity [40,406]
576	dsticks	150	4	24	wt | hc | birth wt [30,514]	npn (noc) | correction | 9 day average intake [8,184]
577	#9a/b's	149	0	36	a/b's | npn addendum | caffeine. a [28,763]	a/b's | npn addendum | a/b [6,373]
578	soft and flat. a	149	7	15	dev | g&d | g/d [68,560]	aga. p | comfort self. afsf. aga. p | development [6,315]
579	retractions. a	148	17	47	feeds. p | tolerating feeds. p | stable. p [16,349]	ordered. a | family p | noted. a [2,836]
580	feeds. a	148	17	0	feeds. p | tolerating feeds. p | stable. p [16,349]	feeds. p | tolerating feeds. p | stable. p [13,513]
581	g.u	148	5	25	gi | gu | endo [383,721]	gu | renal | g.u. [122,152]
582	sheepskin. a	148	0	48	a/b's | npn addendum | caffeine. a [28,763]	pacifier. p | afsf. aga. p | sheepskin. a [4,416]
583	endo/lytes	147	5	12	gi | gu | endo [383,721]	endo | heme | labs [88,310]
584	#9 - family	147	9	16	parenting | 9 | [** **] [74,008]	parenting | parents | par [41,833]
585	#9 fn	147	11	23	fen | #9 fen | 9. fen [79,977]	fen | #9 fen | 9. fen [77,851]
586	ophtho	147	4	37	wt | hc | birth wt [30,514]	env't | extrem | dvlp [3,837]
587	fontanels soft/flat. aga. p	147	0	48	a/b's | npn addendum | caffeine. a [28,763]	pacifier. p | afsf. aga. p | sheepskin. a [4,416]
588	in ra. p	146	0	22	a/b's | npn addendum | caffeine. a [28,763]	caffeine. a | stable in ra. p | caffeine. p [4,423]
589	resp.o	146	2	26	#9 o | #9 | 9. o [108,709]	9. resp | #9 resp | resp o/a [28,795]
590	psych	145	3	5	social | skin | s [230,049]	social | soc | ms [101,834]
591	parent	145	9	16	parenting | 9 | [** **] [74,008]	parenting | parents | par [41,833]
592	admission pex	144	1	8	pe | abd | heent [111,880]	heent | general | gen [23,494]
593	c.v	143	15	32	cv | id | cardiac [283,370]	cv | cardiac | cvs [184,497]
594	[**name (ni) 999**]	143	13	13	plan | p | a [328,746]	plan | p | a [328,746]
595	growth and dev	143	7	17	dev | g&d | g/d [68,560]	dev | g&d | g/d [62,245]
596	soft/flat. aga. p	142	0	48	a/b's | npn addendum | caffeine. a [28,763]	pacifier. p | afsf. aga. p | sheepskin. a [4,416]
597	#9 skin	142	10	3	bili | #9 bili | 9. bili [13,490]	hyperbilirubinemia. p | 9. skin | #9 skin [2,255]
598	pregnancy	142	1	44	pe | abd | heent [111,880]	pns | pre/perinatal hx | pregnancy [1,644]
599	9.bili	142	10	38	bili | #9 bili | 9. bili [13,490]	bili | #9 bili | 9. bili [11,235]
600	respnse	141	4	24	wt | hc | birth wt [30,514]	npn (noc) | correction | 9 day average intake [8,184]
601	d neuro	141	19	39	neuro | n | nuero [169,844]	neuro | n | nuero [169,844]
602	fam	140	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
603	#9hyperbili	140	10	38	bili | #9 bili | 9. bili [13,490]	bili | #9 bili | 9. bili [11,235]
604	aspirates. a	140	17	0	feeds. p | tolerating feeds. p | stable. p [16,349]	feeds. p | tolerating feeds. p | stable. p [13,513]
605	cv o	140	2	45	#9 o | #9 | 9. o [108,709]	9. cv | #9 cv | cv o/a [3,971]
606	99. o	139	18	18	sepsis | 9. sepsis | #9 dev s/o [10,431]	sepsis | 9. sepsis | #9 dev s/o [10,431]
607	afsf. p	139	0	48	a/b's | npn addendum | caffeine. a [28,763]	pacifier. p | afsf. aga. p | sheepskin. a [4,416]
608	[**month/day (9) 999**]	139	4	24	wt | hc | birth wt [30,514]	npn (noc) | correction | 9 day average intake [8,184]
609	tonight. a	138	17	0	feeds. p | tolerating feeds. p | stable. p [16,349]	feeds. p | tolerating feeds. p | stable. p [13,513]
610	vital signs	138	1	8	pe | abd | heent [111,880]	heent | general | gen [23,494]
611	#9 a/b	137	0	36	a/b's | npn addendum | caffeine. a [28,763]	a/b's | npn addendum | a/b [6,373]
612	loving and involved. p	137	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
613	infant. p	137	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
614	[**last name (stitle) **]	137	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
615	events today	135	8	6	o | events | d [133,786]	o | events | d [123,792]
616	coping	135	3	5	social | skin | s [230,049]	social | soc | ms [101,834]
617	voiding and stooling. a	134	17	0	feeds. p | tolerating feeds. p | stable. p [16,349]	feeds. p | tolerating feeds. p | stable. p [13,513]
618	condition update	134	8	6	o | events | d [133,786]	o | events | d [123,792]
619	growth and development	134	7	17	dev | g&d | g/d [68,560]	dev | g&d | g/d [62,245]
620	#9. [** 99**] o	134	9	29	parenting | 9 | [** **] [74,008]	#9. [** **] o | #9. parenting o | #9. parents o [1,451]
621	extr	132	4	37	wt | hc | birth wt [30,514]	env't | extrem | dvlp [3,837]
622	skeletal	132	3	35	social | skin | s [230,049]	skin | integ | derm [87,809]
623	fen/gi	132	4	24	wt | hc | birth wt [30,514]	npn (noc) | correction | 9 day average intake [8,184]
624	9. [**month (only) 999**]	131	18	18	sepsis | 9. sepsis | #9 dev s/o [10,431]	sepsis | 9. sepsis | #9 dev s/o [10,431]
625	infant. a	131	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
626	ap	131	4	24	wt | hc | birth wt [30,514]	npn (noc) | correction | 9 day average intake [8,184]
627	addendum to above	131	0	36	a/b's | npn addendum | caffeine. a [28,763]	a/b's | npn addendum | a/b [6,373]
628	r/o sepsis	131	18	18	sepsis | 9. sepsis | #9 dev s/o [10,431]	sepsis | 9. sepsis | #9 dev s/o [10,431]
629	birth hc	130	4	24	wt | hc | birth wt [30,514]	npn (noc) | correction | 9 day average intake [8,184]
630	psh	130	6	11	assessment | pmh | allergies [19,974]	assessment | pmh | ccu nsg note [15,798]
631	9. resp o	130	2	20	#9 o | #9 | 9. o [108,709]	#9 o | #9 | 9. o [75,943]
632	thus far. p	129	17	0	feeds. p | tolerating feeds. p | stable. p [16,349]	feeds. p | tolerating feeds. p | stable. p [13,513]
633	apnea and bradycardia	129	2	26	#9 o | #9 | 9. o [108,709]	9. resp | #9 resp | resp o/a [28,795]
634	feedings well. p	129	17	0	feeds. p | tolerating feeds. p | stable. p [16,349]	feeds. p | tolerating feeds. p | stable. p [13,513]
635	grams. a	128	17	47	feeds. p | tolerating feeds. p | stable. p [16,349]	ordered. a | family p | noted. a [2,836]
636	pain/comfort	128	3	2	social | skin | s [230,049]	s | pain | activity [40,406]
637	#9. res	128	2	26	#9 o | #9 | 9. o [108,709]	9. resp | #9 resp | resp o/a [28,795]
638	current wt	128	4	24	wt | hc | birth wt [30,514]	npn (noc) | correction | 9 day average intake [8,184]
639	assessment and plan	128	13	13	plan | p | a [328,746]	plan | p | a [328,746]
640	9. [**month (only) **]	128	18	18	sepsis | 9. sepsis | #9 dev s/o [10,431]	sepsis | 9. sepsis | #9 dev s/o [10,431]
641	nicu nursing admission note	127	2	20	#9 o | #9 | 9. o [108,709]	#9 o | #9 | 9. o [75,943]
642	understanding. a	127	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
643	psych/soc	127	3	5	social | skin | s [230,049]	social | soc | ms [101,834]
644	birth ln	127	4	24	wt | hc | birth wt [30,514]	npn (noc) | correction | 9 day average intake [8,184]
645	shift note	127	6	11	assessment | pmh | allergies [19,974]	assessment | pmh | ccu nsg note [15,798]
646	pmh/psh	127	6	11	assessment | pmh | allergies [19,974]	assessment | pmh | ccu nsg note [15,798]
647	primary ob	126	4	4	wt | hc | birth wt [30,514]	hc | ob | pedi [10,504]
648	updated mom. a/p	126	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
649	r.o.s.	126	19	39	neuro | n | nuero [169,844]	neuro | n | nuero [169,844]
650	npnote	126	1	19	pe | abd | heent [111,880]	abd | ext | respr [25,458]
651	age. p	126	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
652	m/sicu npn for 9a-9p	125	4	24	wt | hc | birth wt [30,514]	npn (noc) | correction | 9 day average intake [8,184]
653	respiratory care (addendum)	125	14	41	resp | respiratory care | pulm [220,891]	respiratory care | resp care | respiratory care note [24,355]
654	far.a	125	0	36	a/b's | npn addendum | caffeine. a [28,763]	a/b's | npn addendum | a/b [6,373]
655	support. p	124	0	22	a/b's | npn addendum | caffeine. a [28,763]	caffeine. a | stable in ra. p | caffeine. p [4,423]
656	optho	123	4	37	wt | hc | birth wt [30,514]	env't | extrem | dvlp [3,837]
657	nursing admit note	123	6	11	assessment | pmh | allergies [19,974]	assessment | pmh | ccu nsg note [15,798]
658	alt in growth and development	123	7	17	dev | g&d | g/d [68,560]	dev | g&d | g/d [62,245]
659	for age. p	123	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
660	wounds	122	3	35	social | skin | s [230,049]	skin | integ | derm [87,809]
661	#9 cv o	122	2	45	#9 o | #9 | 9. o [108,709]	9. cv | #9 cv | cv o/a [3,971]
662	plan/goal	121	13	13	plan | p | a [328,746]	plan | p | a [328,746]
663	involved family p	121	17	47	feeds. p | tolerating feeds. p | stable. p [16,349]	ordered. a | family p | noted. a [2,836]
664	on pacifier. a	120	0	48	a/b's | npn addendum | caffeine. a [28,763]	pacifier. p | afsf. aga. p | sheepskin. a [4,416]
665	incision	120	3	35	social | skin | s [230,049]	skin | integ | derm [87,809]
666	alt in skin integrity	119	10	3	bili | #9 bili | 9. bili [13,490]	hyperbilirubinemia. p | 9. skin | #9 skin [2,255]
667	and involved. p	119	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
668	[** 99**] o/a	119	9	16	parenting | 9 | [** **] [74,008]	parenting | parents | par [41,833]
669	on caffeine. a	118	0	22	a/b's | npn addendum | caffeine. a [28,763]	caffeine. a | stable in ra. p | caffeine. p [4,423]
670	9.cv	118	2	45	#9 o | #9 | 9. o [108,709]	9. cv | #9 cv | cv o/a [3,971]
671	#9. cv status o	118	2	45	#9 o | #9 | 9. o [108,709]	9. cv | #9 cv | cv o/a [3,971]
672	9. [**last name (un) **]	118	9	16	parenting | 9 | [** **] [74,008]	parenting | parents | par [41,833]
673	sicu nursing note	117	8	6	o | events | d [133,786]	o | events | d [123,792]
674	cpap. p	117	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
675	pex today	117	1	8	pe | abd | heent [111,880]	heent | general | gen [23,494]
676	disposition	117	3	2	social | skin | s [230,049]	s | pain | activity [40,406]
677	ivl's	115	15	21	cv | id | cardiac [283,370]	access | lines | iv [23,483]
678	am labs	114	3	2	social | skin | s [230,049]	s | pain | activity [40,406]
679	renal/gu	114	5	25	gi | gu | endo [383,721]	gu | renal | g.u. [122,152]
680	[**name9 (md) **]	114	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
681	hct	114	3	2	social | skin | s [230,049]	s | pain | activity [40,406]
682	hyperbili p	114	10	3	bili | #9 bili | 9. bili [13,490]	hyperbilirubinemia. p | 9. skin | #9 skin [2,255]
683	9. family	113	9	16	parenting | 9 | [** **] [74,008]	parenting | parents | par [41,833]
684	acess	113	15	21	cv | id | cardiac [283,370]	access | lines | iv [23,483]
685	gi/metabolic	112	5	34	gi | gu | endo [383,721]	gi | gi/gu | gu/gi [173,259]
686	status and plan	112	13	13	plan | p | a [328,746]	plan | p | a [328,746]
687	o/e	112	1	8	pe | abd | heent [111,880]	heent | general | gen [23,494]
688	9999gms. a	111	17	0	feeds. p | tolerating feeds. p | stable. p [16,349]	feeds. p | tolerating feeds. p | stable. p [13,513]
689	meds at home	111	6	40	assessment | pmh | allergies [19,974]	allergies | meds | allergy [4,176]
690	ccu nsg prog note	110	13	13	plan | p | a [328,746]	plan | p | a [328,746]
691	pot for sepsis o	110	18	18	sepsis | 9. sepsis | #9 dev s/o [10,431]	sepsis | 9. sepsis | #9 dev s/o [10,431]
692	code	110	8	6	o | events | d [133,786]	o | events | d [123,792]
693	addendum to the above note	109	8	7	o | events | d [133,786]	data | response | action [9,994]
694	a&b's	109	0	36	a/b's | npn addendum | caffeine. a [28,763]	a/b's | npn addendum | a/b [6,373]
695	#9parents. o	108	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
696	[** 9**] o/a	108	9	16	parenting | 9 | [** **] [74,008]	parenting | parents | par [41,833]
697	stable in ra p	108	17	47	feeds. p | tolerating feeds. p | stable. p [16,349]	ordered. a | family p | noted. a [2,836]
698	#9 cvr o	108	2	45	#9 o | #9 | 9. o [108,709]	9. cv | #9 cv | cv o/a [3,971]
699	g.u./renal	108	5	25	gi | gu | endo [383,721]	gu | renal | g.u. [122,152]
700	micu nsg prog note	108	13	13	plan | p | a [328,746]	plan | p | a [328,746]
701	#9dev. o	108	7	15	dev | g&d | g/d [68,560]	aga. p | comfort self. afsf. aga. p | development [6,315]
702	hus	107	4	37	wt | hc | birth wt [30,514]	env't | extrem | dvlp [3,837]
703	skin/other	107	3	2	social | skin | s [230,049]	s | pain | activity [40,406]
704	air. p	107	17	0	feeds. p | tolerating feeds. p | stable. p [16,349]	feeds. p | tolerating feeds. p | stable. p [13,513]
705	pacifier intermittently. a	107	7	15	dev | g&d | g/d [68,560]	aga. p | comfort self. afsf. aga. p | development [6,315]
706	9p-9a nursing note	107	4	24	wt | hc | birth wt [30,514]	npn (noc) | correction | 9 day average intake [8,184]
707	micu npn	106	8	6	o | events | d [133,786]	o | events | d [123,792]
708	#9g/d	106	7	17	dev | g&d | g/d [68,560]	dev | g&d | g/d [62,245]
709	precautions	106	4	24	wt | hc | birth wt [30,514]	npn (noc) | correction | 9 day average intake [8,184]
710	antibx	106	15	46	cv | id | cardiac [283,370]	id | i-d | i.d. [75,390]
711	stool. p	105	17	0	feeds. p | tolerating feeds. p | stable. p [16,349]	feeds. p | tolerating feeds. p | stable. p [13,513]
712	9) fen	105	11	23	fen | #9 fen | 9. fen [79,977]	fen | #9 fen | 9. fen [77,851]
713	#9. [**month/year 9 **]	105	9	16	parenting | 9 | [** **] [74,008]	parenting | parents | par [41,833]
714	growth parameters	105	1	8	pe | abd | heent [111,880]	heent | general | gen [23,494]
715	events overnight	105	8	6	o | events | d [133,786]	o | events | d [123,792]
716	#9 social o	105	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
717	ms/comfort	105	3	2	social | skin | s [230,049]	s | pain | activity [40,406]
718	iv lines	105	15	21	cv | id | cardiac [283,370]	access | lines | iv [23,483]
719	#9. hyperbilirubinemia o	104	10	38	bili | #9 bili | 9. bili [13,490]	bili | #9 bili | 9. bili [11,235]
720	#9 [**month/day (9) 9**]	104	9	16	parenting | 9 | [** **] [74,008]	parenting | parents | par [41,833]
721	hyperbili. p	104	10	3	bili | #9 bili | 9. bili [13,490]	hyperbilirubinemia. p | 9. skin | #9 skin [2,255]
722	and flat. a	104	7	15	dev | g&d | g/d [68,560]	aga. p | comfort self. afsf. aga. p | development [6,315]
723	cbg	103	1	19	pe | abd | heent [111,880]	abd | ext | respr [25,458]
724	99	103	0	36	a/b's | npn addendum | caffeine. a [28,763]	a/b's | npn addendum | a/b [6,373]
725	with cares. a/p	103	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
726	tomorrow. p	103	17	0	feeds. p | tolerating feeds. p | stable. p [16,349]	feeds. p | tolerating feeds. p | stable. p [13,513]
727	projected 99 hr intake	103	4	24	wt | hc | birth wt [30,514]	npn (noc) | correction | 9 day average intake [8,184]
728	fh	102	6	11	assessment | pmh | allergies [19,974]	assessment | pmh | ccu nsg note [15,798]
729	9.parents	102	9	16	parenting | 9 | [** **] [74,008]	parenting | parents | par [41,833]
730	gained 99g. a	101	17	0	feeds. p | tolerating feeds. p | stable. p [16,349]	feeds. p | tolerating feeds. p | stable. p [13,513]
731	signifcant events	101	8	7	o | events | d [133,786]	data | response | action [9,994]
732	musculoskeletal	101	3	2	social | skin | s [230,049]	s | pain | activity [40,406]
733	spells thus far this shift. a	100	0	22	a/b's | npn addendum | caffeine. a [28,763]	caffeine. a | stable in ra. p | caffeine. p [4,423]
734	back	100	4	37	wt | hc | birth wt [30,514]	env't | extrem | dvlp [3,837]
735	tolerating feedings well. p	100	17	0	feeds. p | tolerating feeds. p | stable. p [16,349]	feeds. p | tolerating feeds. p | stable. p [13,513]
736	continues on caffeine. p	99	0	22	a/b's | npn addendum | caffeine. a [28,763]	caffeine. a | stable in ra. p | caffeine. p [4,423]
737	neuro/psych	99	19	39	neuro | n | nuero [169,844]	neuro | n | nuero [169,844]
738	micu npn 9999-[**9999**]	98	8	6	o | events | d [133,786]	o | events | d [123,792]
739	this shift thus far. a	98	0	22	a/b's | npn addendum | caffeine. a [28,763]	caffeine. a | stable in ra. p | caffeine. p [4,423]
740	[**month/day (9) 99**]	98	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
741	-cv	98	3	2	social | skin | s [230,049]	s | pain | activity [40,406]
742	spine	97	4	37	wt | hc | birth wt [30,514]	env't | extrem | dvlp [3,837]
743	cv/renal	97	15	32	cv | id | cardiac [283,370]	cv | cardiac | cvs [184,497]
744	ccu nursing note 9999-9999	96	6	11	assessment | pmh | allergies [19,974]	assessment | pmh | ccu nsg note [15,798]
745	[**doctor first name **]	96	4	24	wt | hc | birth wt [30,514]	npn (noc) | correction | 9 day average intake [8,184]
746	lung	96	3	2	social | skin | s [230,049]	s | pain | activity [40,406]
747	dm	95	5	12	gi | gu | endo [383,721]	endo | heme | labs [88,310]
748	afternoon. a	95	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
749	#9. a&b's o	95	0	36	a/b's | npn addendum | caffeine. a [28,763]	a/b's | npn addendum | a/b [6,373]
750	#9 [**year (9 digits) **]	95	9	16	parenting | 9 | [** **] [74,008]	parenting | parents | par [41,833]
751	neg. p	94	17	0	feeds. p | tolerating feeds. p | stable. p [16,349]	feeds. p | tolerating feeds. p | stable. p [13,513]
752	9. [**known lastname 9**]	94	9	16	parenting | 9 | [** **] [74,008]	parenting | parents | par [41,833]
753	on caffeine. p	94	0	22	a/b's | npn addendum | caffeine. a [28,763]	caffeine. a | stable in ra. p | caffeine. p [4,423]
754	hr	94	4	24	wt | hc | birth wt [30,514]	npn (noc) | correction | 9 day average intake [8,184]
755	9. hyperbil	94	10	38	bili | #9 bili | 9. bili [13,490]	bili | #9 bili | 9. bili [11,235]
756	jaundice	93	4	24	wt | hc | birth wt [30,514]	npn (noc) | correction | 9 day average intake [8,184]
757	given. p	93	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
758	cultures	93	4	24	wt | hc | birth wt [30,514]	npn (noc) | correction | 9 day average intake [8,184]
759	as ordered. a	91	17	47	feeds. p | tolerating feeds. p | stable. p [16,349]	ordered. a | family p | noted. a [2,836]
760	no spells. a	91	0	22	a/b's | npn addendum | caffeine. a [28,763]	caffeine. a | stable in ra. p | caffeine. p [4,423]
761	involved parents. p	91	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
762	nested in sheepskin. a	91	0	48	a/b's | npn addendum | caffeine. a [28,763]	pacifier. p | afsf. aga. p | sheepskin. a [4,416]
763	between cares. a	91	7	15	dev | g&d | g/d [68,560]	aga. p | comfort self. afsf. aga. p | development [6,315]
764	isolette. a	91	0	48	a/b's | npn addendum | caffeine. a [28,763]	pacifier. p | afsf. aga. p | sheepskin. a [4,416]
765	respiraotry care	91	14	41	resp | respiratory care | pulm [220,891]	respiratory care | resp care | respiratory care note [24,355]
766	9.[** **]	91	9	16	parenting | 9 | [** **] [74,008]	parenting | parents | par [41,833]
767	pending. a	91	17	0	feeds. p | tolerating feeds. p | stable. p [16,349]	feeds. p | tolerating feeds. p | stable. p [13,513]
768	fontanels are soft and flat. a	91	7	15	dev | g&d | g/d [68,560]	aga. p | comfort self. afsf. aga. p | development [6,315]
769	9. [**hospital9 **]	91	9	16	parenting | 9 | [** **] [74,008]	parenting | parents | par [41,833]
770	a's & b's	90	0	36	a/b's | npn addendum | caffeine. a [28,763]	a/b's | npn addendum | a/b [6,373]
771	#99 cv	90	2	45	#9 o | #9 | 9. o [108,709]	9. cv | #9 cv | cv o/a [3,971]
772	growth	90	1	8	pe | abd | heent [111,880]	heent | general | gen [23,494]
773	9. hyperbili o	90	10	3	bili | #9 bili | 9. bili [13,490]	hyperbilirubinemia. p | 9. skin | #9 skin [2,255]
774	gaining wgt. p	90	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
775	9. a's & b's	90	0	36	a/b's | npn addendum | caffeine. a [28,763]	a/b's | npn addendum | a/b [6,373]
776	gi/heme	89	5	34	gi | gu | endo [383,721]	gi | gi/gu | gu/gi [173,259]
777	in place. a	89	10	3	bili | #9 bili | 9. bili [13,490]	hyperbilirubinemia. p | 9. skin | #9 skin [2,255]
778	loving family. p	89	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
779	99g. a	89	17	0	feeds. p | tolerating feeds. p | stable. p [16,349]	feeds. p | tolerating feeds. p | stable. p [13,513]
780	birthwt	89	4	24	wt | hc | birth wt [30,514]	npn (noc) | correction | 9 day average intake [8,184]
781	fluid and nutrition	88	11	23	fen | #9 fen | 9. fen [79,977]	fen | #9 fen | 9. fen [77,851]
782	psych/soc/family	88	3	5	social | skin | s [230,049]	social | soc | ms [101,834]
783	mom. p	88	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
784	#9 [**month/day (9) 99**]	87	9	16	parenting | 9 | [** **] [74,008]	parenting | parents | par [41,833]
785	crib. a	87	0	48	a/b's | npn addendum | caffeine. a [28,763]	pacifier. p | afsf. aga. p | sheepskin. a [4,416]
786	pain management	87	3	2	social | skin | s [230,049]	s | pain | activity [40,406]
787	id/endo/integ	87	3	35	social | skin | s [230,049]	skin | integ | derm [87,809]
788	thus far this shift. a	86	0	22	a/b's | npn addendum | caffeine. a [28,763]	caffeine. a | stable in ra. p | caffeine. p [4,423]
789	neuro/activity	86	3	2	social | skin | s [230,049]	s | pain | activity [40,406]
790	infection. p	85	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
791	with cares. a	85	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
792	feed. p	85	17	0	feeds. p | tolerating feeds. p | stable. p [16,349]	feeds. p | tolerating feeds. p | stable. p [13,513]
793	#9. bili	85	10	38	bili | #9 bili | 9. bili [13,490]	bili | #9 bili | 9. bili [11,235]
794	updates given. p	85	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
795	temp	84	15	46	cv | id | cardiac [283,370]	id | i-d | i.d. [75,390]
796	countdown. p	84	0	22	a/b's | npn addendum | caffeine. a [28,763]	caffeine. a | stable in ra. p | caffeine. p [4,423]
797	alt parenting	84	9	16	parenting | 9 | [** **] [74,008]	parenting | parents | par [41,833]
798	#9 [**doctor last name **]	84	9	16	parenting | 9 | [** **] [74,008]	parenting | parents | par [41,833]
799	time. p	84	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
800	admx date	84	4	24	wt | hc | birth wt [30,514]	npn (noc) | correction | 9 day average intake [8,184]
801	noted this shift thus far. a	83	0	22	a/b's | npn addendum | caffeine. a [28,763]	caffeine. a | stable in ra. p | caffeine. p [4,423]
802	id o/a	83	18	18	sepsis | 9. sepsis | #9 dev s/o [10,431]	sepsis | 9. sepsis | #9 dev s/o [10,431]
803	settings. p	83	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
804	#9 neuro	83	7	15	dev | g&d | g/d [68,560]	aga. p | comfort self. afsf. aga. p | development [6,315]
805	premie. p	83	0	48	a/b's | npn addendum | caffeine. a [28,763]	pacifier. p | afsf. aga. p | sheepskin. a [4,416]
806	gi/gi	83	5	34	gi | gu | endo [383,721]	gi | gi/gu | gu/gi [173,259]
807	ekg	83	4	24	wt | hc | birth wt [30,514]	npn (noc) | correction | 9 day average intake [8,184]
808	evening. a	82	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
809	perfused. a	82	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
